ID de la venta,Nombre producto,Cantidad vendida,Precio unitario,Fecha de venta
1,Estabilizador de Voltaje,35,192.26,2024-10-21
2,Báscula Inteligente,43,1809.71,2024-05-07
3,Estabilizador de Voltaje,7,1240.21,2024-08-11
4,Power Bank Solar,11,1078.98,2024-12-04
5,Placa Madre,40,333.33,2024-05-23
6,Monitor de Frecuencia Cardíaca,12,523.11,2024-08-09
7,Estabilizador de Voltaje,28,1235.75,2024-06-03
8,Cafetera Inteligente,31,1751.2,2024-06-04
9,Reproductor de Vinilo,32,318.15,2024-05-07
10,Disco Externo SSD,32,1491.2,2024-07-02
11,Altavoz Inteligente,43,99.6,2024-06-17
12,Placa de Desarrollo ESP32,33,99.27,2024-08-15
13,Disco Externo SSD,4,1881.38,2025-01-20
14,Joystick,50,1485.31,2024-05-18
15,Hub USB-C,16,350.54,2025-01-31
16,Mochila Solar,45,621.76,2025-01-04
17,Auriculares,38,902.58,2024-10-18
18,Termómetro Inteligente,16,938.11,2024-07-22
19,Robot Aspiradora,2,1685.78,2024-08-26
20,Termómetro Inteligente,12,1884.33,2024-09-13
21,Cerradura Inteligente,19,1809.85,2024-09-21
22,Power Bank Solar,27,396.57,2025-03-13
23,Cámara para Auto Dashcam,17,632.78,2025-01-01
24,Procesador,43,981.91,2024-10-30
25,Cargador Portátil,36,1786.42,2025-03-23
26,Altavoces,24,270.58,2024-12-13
27,Teclado,48,364.96,2024-08-26
28,Cámara 360°,18,292.08,2025-01-03
29,Smartwatch,22,1849.75,2025-03-22
30,Memoria RAM,16,14.46,2024-09-01
31,Cerradura Inteligente,47,190.58,2024-10-09
32,Webcam,2,619.89,2024-09-03
33,Antena Satelital,33,1443.99,2024-04-21
34,Power Bank Solar,15,481.11,2024-04-07
35,Sistema de Alarma Inteligente,26,1587.62,2024-05-25
36,Fuente de Poder,3,1687.79,2024-04-10
37,Impresora,45,786.55,2024-06-16
38,Tarjeta de Sonido,45,1174.45,2024-09-07
39,Grabadora de Voz,44,92.73,2024-12-03
40,Mini Impresora Térmica,35,323.39,2025-03-03
41,Drone,49,389.18,2024-05-24
42,Kit de Domótica,24,253.12,2024-08-11
43,Lentes de Realidad Aumentada,25,1674.22,2024-07-18
44,Interruptor Inteligente,37,1534.26,2025-01-11
45,Cámara,35,549.95,2024-04-22
46,Mini PC,37,1706.62,2025-01-22
47,Timbre Inteligente,38,1987.05,2025-01-25
48,Cámara,30,1654.85,2024-07-30
49,Lector de Huellas,36,100.98,2024-05-18
50,Detector de Humo,45,756.82,2024-04-24
51,Báscula Inteligente,25,359.4,2024-06-28
52,Guantes VR,31,750.31,2024-06-11
53,Cargador Solar Portátil,49,958.32,2024-04-21
54,Laptop,23,836.91,2025-03-18
55,Monitor,31,368.43,2024-12-08
56,Telescopio Digital,11,904.34,2024-05-27
57,Smart Mirror,18,1515.81,2025-02-07
58,Convertidor de Video HDMI,13,1580.5,2024-10-04
59,Smartphone,49,1161.27,2024-10-12
60,Telescopio Digital,9,1803.88,2024-04-07
61,Impresora 3D,17,1930.01,2024-07-13
62,Sensor de Movimiento,25,1642.82,2024-10-08
63,Mini Impresora Térmica,8,636.0,2024-07-28
64,Cinta LED RGB,17,1488.66,2024-09-30
65,Reproductor Multimedia,50,1381.16,2024-05-16
66,Teclado Mecánico,32,967.63,2024-11-11
67,Sensor de Movimiento,34,670.36,2025-03-05
68,Sensor de Movimiento,44,1402.06,2025-02-02
69,Smart Mirror,1,647.34,2024-12-18
70,Monitor Ultrawide,10,1051.17,2024-11-24
71,Kit Arduino,2,908.37,2025-02-16
72,Fuente de Poder,16,831.84,2024-08-30
73,Lector de Huellas,12,1189.65,2024-04-17
74,Disco Duro,49,32.84,2024-09-14
75,Tarjeta Gráfica,39,1182.54,2024-11-08
76,Termómetro Inteligente,25,160.7,2024-08-03
77,Tarjeta de Sonido,7,955.32,2025-02-10
78,Gimbal,21,1321.4,2024-09-24
79,Kit de Domótica,4,1566.36,2024-11-20
80,Power Bank Solar,10,362.45,2024-05-06
81,Batería Externa,39,1623.19,2024-11-22
82,Robot Aspiradora,1,321.63,2024-10-06
83,Smart TV,2,827.96,2024-10-02
84,Kit Arduino,24,1069.69,2025-01-15
85,Robot Aspiradora,1,1214.53,2025-03-08
86,Teclado Mecánico,36,751.8,2025-01-28
87,Lector de Huellas,32,857.0,2024-04-27
